domain	added	reason
www.google.sk	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.no	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.pt	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.lt	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.kr	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.mm	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.jm	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.dk	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.be	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.lk	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.cy	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.kg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.ao	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.dz	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.mw	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.gh	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ng	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.cn	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.sv	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.gt	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.hn	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.ke	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.la	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.ls	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ly	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.li	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.mv	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ml	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.mu	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.mc	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.mn	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.me	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.mz	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.na	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.nz	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.pg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.pr	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.rw	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sm	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sn	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sc	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sl	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sb	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.so	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sd	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sr	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.sy	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.tj	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.tz	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.tg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.to	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.tn	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.tm	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.tv	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.ug	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.vu	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.va	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ye	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.zm	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.zw	2026-09-07	scriptlet/CSS exempt when injection ON
search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
ph.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
id.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
br.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
es.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
it.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
co.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
uk.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
nl.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
mx.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
ve.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
malaysia.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
vn.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
de.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
ar.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
pe.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
se.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
fr.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
cl.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
dk.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
sg.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
th.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
no.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
at.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
fi.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
ch.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
hk.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
tw.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
in.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
ca.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
au.search.yahoo.com	2026-09-07	scriptlet/CSS exempt when injection ON
